"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-09-16,"brigham young","boise state","4",2012-09-20,"Thu","7","6",NA,24,NA,NA,NA,1
2012-09-16,"buffalo","kent state","4",2012-09-19,"Wed","23","7",NA,NA,NA,NA,NA,NA
2012-09-16,"california","southern california","4",2012-09-22,"Sat","27","9",12,13,NA,NA,1,1
2012-09-16,"citadel","north carolina state","4",2012-09-22,"Sat","52","14",NA,NA,NA,NA,NA,NA
2012-09-16,"clemson","florida state","4",2012-09-22,"Sat","49","37",4,4,9,10,1,1
2012-09-16,"coastal carolina","toledo","4",2012-09-22,"Sat","38","28",NA,NA,NA,NA,NA,NA
2012-09-16,"colorado state","utah state","4",2012-09-22,"Sat","31","19",NA,NA,NA,NA,NA,NA
2012-09-16,"connecticut","western michigan","4",2012-09-22,"Sat","30","24",NA,NA,NA,NA,NA,NA
2012-09-16,"east carolina","north carolina","4",2012-09-22,"Sat","27","6",NA,NA,NA,NA,NA,NA
2012-09-16,"eastern michigan","michigan state","4",2012-09-22,"Sat","23","7",20,21,NA,NA,1,1
2012-09-16,"florida atlantic","alabama","4",2012-09-22,"Sat","40","7",1,1,NA,NA,1,1
2012-09-16,"florida international","louisville","4",2012-09-22,"Sat","28","21",18,20,NA,NA,1,1
2012-09-16,"fresno state","tulsa","4",2012-09-22,"Sat","27","26",NA,NA,NA,NA,NA,NA
2012-09-16,"gardner-webb","pittsburgh","4",2012-09-22,"Sat","55","10",NA,NA,NA,NA,NA,NA
2012-09-16,"georgia tech","miami (fl)","4",2012-09-22,"Sat","42","36",NA,NA,NA,NA,NA,NA
2012-09-16,"hawaii","nevada","4",2012-09-22,"Sat","69","24",NA,NA,NA,NA,NA,NA
2012-09-16,"idaho","wyoming","4",2012-09-22,"Sat","40","37",NA,NA,NA,NA,NA,NA
2012-09-16,"idaho state","nebraska","4",2012-09-22,"Sat","73","7",22,25,NA,NA,1,1
2012-09-16,"illinois","louisiana tech","4",2012-09-22,"Sat","52","24",NA,NA,NA,NA,NA,NA
2012-09-16,"iowa","central michigan","4",2012-09-22,"Sat","32","31",NA,NA,NA,NA,NA,NA
2012-09-16,"kansas","northern illinois","4",2012-09-22,"Sat","30","23",NA,NA,NA,NA,NA,NA
2012-09-16,"kentucky","florida","4",2012-09-22,"Sat","38","0",14,14,NA,NA,1,1
2012-09-16,"louisiana-monroe","baylor","4",2012-09-21,"Fri","47","42",NA,NA,NA,NA,NA,NA
2012-09-16,"maryland","west virginia","4",2012-09-22,"Sat","31","21",7,8,NA,NA,1,1
2012-09-16,"massachusetts","miami (oh)","4",2012-09-22,"Sat","27","16",NA,NA,NA,NA,NA,NA
2012-09-16,"memphis","duke","4",2012-09-22,"Sat","38","14",NA,NA,NA,NA,NA,NA
2012-09-16,"michigan","notre dame","4",2012-09-22,"Sat","13","6",15,11,17,18,1,1
2012-09-16,"missouri","south carolina","4",2012-09-22,"Sat","31","10",8,7,NA,NA,1,1
2012-09-16,"new mexico state","new mexico","4",2012-09-22,"Sat","27","14",NA,NA,NA,NA,NA,NA
2012-09-16,"norfolk state","ohio","4",2012-09-22,"Sat","44","10",NA,NA,NA,NA,NA,NA
2012-09-16,"north texas","troy","4",2012-09-22,"Sat","14","7",NA,NA,NA,NA,NA,NA
