"Rank","Team","Record","Points","PreviousPrev","year","poll","week"
10,"Notre Dame","0-0",1006,"NR",2016,"AP","2016-08-21"
11,"Mississippi","0-0",718,"NR",2016,"AP","2016-08-21"
12,"Michigan State","0-0",710,"NR",2016,"AP","2016-08-21"
13,"TCU","0-0",707,"NR",2016,"AP","2016-08-21"
14,"Washington","0-0",651,"NR",2016,"AP","2016-08-21"
15,"Houston","0-0",644,"NR",2016,"AP","2016-08-21"
16,"UCLA","0-0",496,"NR",2016,"AP","2016-08-21"
17,"Iowa","0-0",484,"NR",2016,"AP","2016-08-21"
18,"Georgia","0-0",448,"NR",2016,"AP","2016-08-21"
19,"Louisville","0-0",447,"NR",2016,"AP","2016-08-21"
20,"USC","0-0",344,"NR",2016,"AP","2016-08-21"
21,"Oklahoma State","0-0",316,"NR",2016,"AP","2016-08-21"
22,"North Carolina","0-0",283,"NR",2016,"AP","2016-08-21"
23,"Baylor","0-0",280,"NR",2016,"AP","2016-08-21"
24,"Oregon","0-0",218,"NR",2016,"AP","2016-08-21"
25,"Florida","0-0",180,"NR",2016,"AP","2016-08-21"
1,"Alabama (57)","13-1",1521,"4",2017,"AP","2018-01-09"
2,"Georgia","13-2",1454,"3",2017,"AP","2018-01-09"
3,"Oklahoma","12-2",1374,"2",2017,"AP","2018-01-09"
4,"Clemson","12-2",1292,"1",2017,"AP","2018-01-09"
5,"Ohio State","12-2",1286,"5",2017,"AP","2018-01-09"
6,"UCF (4)","13-0",1248,"10",2017,"AP","2018-01-09"
7,"Wisconsin","13-1",1194,"6",2017,"AP","2018-01-09"
8,"Penn State","11-2",1120,"9",2017,"AP","2018-01-09"
9,"TCU","11-3",974,"13",2017,"AP","2018-01-09"
10,"Auburn","10-4",917,"7",2017,"AP","2018-01-09"
11,"Notre Dame","10-3",857,"14",2017,"AP","2018-01-09"
12,"USC","11-3",839,"8",2017,"AP","2018-01-09"
13,"Miami","10-3",769,"11",2017,"AP","2018-01-09"
14,"Oklahoma State","10-3",758,"17",2017,"AP","2018-01-09"
15,"Michigan State","10-3",705,"18",2017,"AP","2018-01-09"
16,"Washington","10-3",668,"12",2017,"AP","2018-01-09"
17,"Northwestern","10-3",528,"20",2017,"AP","2018-01-09"
18,"LSU","9-4",368,"16",2017,"AP","2018-01-09"
19,"Mississippi State","9-4",359,"24",2017,"AP","2018-01-09"
20,"Stanford","9-5",336,"15",2017,"AP","2018-01-09"
21,"South Florida","10-2",267,"23",2017,"AP","2018-01-09"
22,"Boise State","11-3",251,"25",2017,"AP","2018-01-09"
23,"North Carolina State","9-4",232,"NR",2017,"AP","2018-01-09"
24,"Virginia Tech","9-4",126,"22",2017,"AP","2018-01-09"
25,"Memphis","10-3",119,"19",2017,"AP","2018-01-09"
1,"Alabama (62)","13-1",1550,"4",2017,"Coaches","2018-01-09"
2,"Georgia","13-2",1485,"3",2017,"Coaches","2018-01-09"
3,"Oklahoma","12-2",1414,"2",2017,"Coaches","2018-01-09"
4,"Clemson","12-2",1329,"1",2017,"Coaches","2018-01-09"
5,"Ohio State","12-2",1304,"5",2017,"Coaches","2018-01-09"
6,"Wisconsin","13-1",1223,"6",2017,"Coaches","2018-01-09"
7,"UCF","13-0",1202,"10",2017,"Coaches","2018-01-09"
8,"Penn State","11-2",1134,"9",2017,"Coaches","2018-01-09"
9,"TCU","11-3",1013,"13",2017,"Coaches","2018-01-09"
10,"USC","11-3",904,"7",2017,"Coaches","2018-01-09"
11,"Notre Dame","10-3",888,"15",2017,"Coaches","2018-01-09"
12,"Auburn","10-4",885,"8",2017,"Coaches","2018-01-09"
13,"Miami","10-3",769,"11",2017,"Coaches","2018-01-09"
14,"Oklahoma State","10-3",757,"17",2017,"Coaches","2018-01-09"
15,"Washington","10-3",706,"12",2017,"Coaches","2018-01-09"
16,"Michigan State","10-3",682,"19",2017,"Coaches","2018-01-09"
17,"Northwestern","10-3",543,"20",2017,"Coaches","2018-01-09"
18,"LSU","9-4",424,"14",2017,"Coaches","2018-01-09"
19,"Stanford","9-5",354,"16",2017,"Coaches","2018-01-09"
20,"Mississippi State","9-4",349,"23",2017,"Coaches","2018-01-09"
21,"South Florida","10-2",285,"24",2017,"Coaches","2018-01-09"
22,"Boise State","11-3",242,"25",2017,"Coaches","2018-01-09"
23,"North Carolina State","9-4",198,"NR",2017,"Coaches","2018-01-09"
24,"Memphis","10-3",149,"18",2017,"Coaches","2018-01-09"
25,"Virginia Tech","9-4",96,"22",2017,"Coaches","2018-01-09"
1,"Clemson (43)","12-1",1506,"1",2017,"AP","2017-12-03"
2,"Oklahoma (18)","12-1",1474,"2",2017,"AP","2017-12-03"
3,"Georgia","12-1",1409,"6",2017,"AP","2017-12-03"
4,"Alabama","11-1",1307,"5",2017,"AP","2017-12-03"
5,"Ohio State","11-2",1300,"8",2017,"AP","2017-12-03"
6,"Wisconsin","12-1",1162,"3",2017,"AP","2017-12-03"
7,"Auburn","10-3",1123,"4",2017,"AP","2017-12-03"
8,"USC","11-2",1101,"11",2017,"AP","2017-12-03"
9,"Penn State","10-2",1008,"9",2017,"AP","2017-12-03"
10,"UCF","12-0",983,"12",2017,"AP","2017-12-03"
11,"Miami","10-2",948,"7",2017,"AP","2017-12-03"
12,"Washington","10-2",820,"13",2017,"AP","2017-12-03"
13,"TCU","10-3",816,"10",2017,"AP","2017-12-03"
14,"Notre Dame","9-3",632,"15",2017,"AP","2017-12-03"
15,"Stanford","9-4",629,"14",2017,"AP","2017-12-03"
16,"LSU","9-3",599,"17",2017,"AP","2017-12-03"
17,"Oklahoma State","9-3",549,"18",2017,"AP","2017-12-03"
18,"Michigan State","9-3",487,"19",2017,"AP","2017-12-03"
19,"Memphis","10-2",475,"16",2017,"AP","2017-12-03"
20,"Northwestern","9-3",398,"20",2017,"AP","2017-12-03"
21,"Washington State","9-3",342,"21",2017,"AP","2017-12-03"
22,"Virginia Tech","9-3",323,"22",2017,"AP","2017-12-03"
23,"South Florida","9-2",115,"23",2017,"AP","2017-12-03"
24,"Mississippi State","8-4",103,"24",2017,"AP","2017-12-03"
25,"Boise State","10-3",59,"NR",2017,"AP","2017-12-03"
1,"Clemson (49)","12-1",1510,"1",2017,"Coaches","2017-12-03"
2,"Oklahoma (10)","12-1",1462,"2",2017,"Coaches","2017-12-03"
3,"Georgia (2)","12-1",1416,"6",2017,"Coaches","2017-12-03"
4,"Alabama","11-1",1312,"5",2017,"Coaches","2017-12-03"
5,"Ohio State","11-2",1298,"7",2017,"Coaches","2017-12-03"
6,"Wisconsin","12-1",1162,"3",2017,"Coaches","2017-12-03"
7,"USC","11-2",1140,"9",2017,"Coaches","2017-12-03"
8,"Auburn","10-3",1085,"4",2017,"Coaches","2017-12-03"
9,"Penn State","10-2",1006,"10",2017,"Coaches","2017-12-03"
10,"UCF","12-0",986,"11",2017,"Coaches","2017-12-03"
11,"Miami","10-2",934,"7",2017,"Coaches","2017-12-03"
12,"Washington","10-2",855,"13",2017,"Coaches","2017-12-03"
13,"TCU","10-3",807,"12",2017,"Coaches","2017-12-03"
14,"LSU","9-3",638,"16",2017,"Coaches","2017-12-03"
15,"Notre Dame","9-3",628,"17",2017,"Coaches","2017-12-03"
16,"Stanford","9-4",607,"15",2017,"Coaches","2017-12-03"
17,"Oklahoma State","9-3",522,"18",2017,"Coaches","2017-12-03"
18,"Memphis","10-2",485,"14",2017,"Coaches","2017-12-03"
19,"Michigan State","9-3",474,"19",2017,"Coaches","2017-12-03"
20,"Northwestern","9-3",370,"20",2017,"Coaches","2017-12-03"
21,"Washington State","9-3",310,"22",2017,"Coaches","2017-12-03"
22,"Virginia Tech","9-3",302,"21",2017,"Coaches","2017-12-03"
23,"Mississippi State","8-4",134,"24",2017,"Coaches","2017-12-03"
24,"South Florida","9-2",126,"23",2017,"Coaches","2017-12-03"
25,"Boise State","10-3",72,"NR",2017,"Coaches","2017-12-03"
1,"Clemson (27)","11-1",1478,"4",2017,"AP","2017-11-26"
2,"Oklahoma (24)","11-1",1461,"3",2017,"AP","2017-11-26"
3,"Wisconsin (10)","12-0",1405,"5",2017,"AP","2017-11-26"
4,"Auburn","10-2",1374,"6",2017,"AP","2017-11-26"
5,"Alabama","11-1",1254,"1",2017,"AP","2017-11-26"
6,"Georgia","11-1",1246,"7",2017,"AP","2017-11-26"
7,"Miami","10-1",1119,"2",2017,"AP","2017-11-26"
8,"Ohio State","10-2",1112,"8",2017,"AP","2017-11-26"
9,"Penn State","10-2",960,"12",2017,"AP","2017-11-26"
10,"TCU","10-2",956,"10",2017,"AP","2017-11-26"
11,"USC","10-2",936,"11",2017,"AP","2017-11-26"
12,"UCF","11-0",906,"13",2017,"AP","2017-11-26"
13,"Washington","10-2",764,"15",2017,"AP","2017-11-26"
14,"Stanford","9-3",693,"20",2017,"AP","2017-11-26"
15,"Notre Dame","9-3",592,"9",2017,"AP","2017-11-26"
16,"Memphis","10-1",582,"17",2017,"AP","2017-11-26"
17,"LSU","9-3",566,"19",2017,"AP","2017-11-26"
18,"Oklahoma State","9-3",532,"18",2017,"AP","2017-11-26"
19,"Michigan State","9-3",457,"21",2017,"AP","2017-11-26"
20,"Northwestern","9-3",378,"23",2017,"AP","2017-11-26"
21,"Washington State","9-3",328,"14",2017,"AP","2017-11-26"
22,"Virginia Tech","9-3",298,"24",2017,"AP","2017-11-26"
23,"South Florida","9-2",114,"22",2017,"AP","2017-11-26"
24,"Mississippi State","8-4",88,"16",2017,"AP","2017-11-26"
25,"Fresno State","9-3",57,"NR",2017,"AP","2017-11-26"
1,"Clemson (25)","11-1",1485,"3",2017,"Coaches","2017-11-26"
2,"Oklahoma (12)","11-1",1462,"5",2017,"Coaches","2017-11-26"
3,"Wisconsin (21)","12-0",1454,"4",2017,"Coaches","2017-11-26"
4,"Auburn (4)","10-2",1402,"6",2017,"Coaches","2017-11-26"
5,"Alabama","11-1",1272,"1",2017,"Coaches","2017-11-26"
6,"Georgia","11-1",1269,"7",2017,"Coaches","2017-11-26"
7,"Miami","10-1",1123,"2",2017,"Coaches","2017-11-26"
7,"Ohio State","10-2",1123,"8",2017,"Coaches","2017-11-26"
9,"USC","10-2",990,"10",2017,"Coaches","2017-11-26"
10,"Penn State","10-2",970,"11",2017,"Coaches","2017-11-26"
11,"UCF","11-0",957,"12",2017,"Coaches","2017-11-26"
12,"TCU","10-2",934,"13",2017,"Coaches","2017-11-26"
13,"Washington","10-2",822,"14",2017,"Coaches","2017-11-26"
14,"Memphis","10-1",656,"16",2017,"Coaches","2017-11-26"
15,"Stanford","9-3",640,"20",2017,"Coaches","2017-11-26"
16,"LSU","9-3",596,"18",2017,"Coaches","2017-11-26"
17,"Notre Dame","9-3",541,"9",2017,"Coaches","2017-11-26"
18,"Oklahoma State","9-3",506,"21",2017,"Coaches","2017-11-26"
19,"Michigan State","9-3",476,"22",2017,"Coaches","2017-11-26"
20,"Northwestern","9-3",387,"23",2017,"Coaches","2017-11-26"
21,"Virginia Tech","9-3",297,"25",2017,"Coaches","2017-11-26"
22,"Washington State","9-3",266,"15",2017,"Coaches","2017-11-26"
23,"South Florida","9-2",128,"19",2017,"Coaches","2017-11-26"
24,"Mississippi State","8-4",124,"17",2017,"Coaches","2017-11-26"
25,"San Diego State","10-2",86,"NR",2017,"Coaches","2017-11-26"
1,"Alabama (58)","11-0",1522,"1",2017,"AP","2017-11-19"
2,"Miami (3)","10-0",1433,"2",2017,"AP","2017-11-19"
3,"Oklahoma","10-1",1370,"3",2017,"AP","2017-11-19"
4,"Clemson","10-1",1355,"4",2017,"AP","2017-11-19"
5,"Wisconsin","11-0",1328,"5",2017,"AP","2017-11-19"
6,"Auburn","9-2",1203,"6",2017,"AP","2017-11-19"
7,"Georgia","10-1",1157,"7",2017,"AP","2017-11-19"
8,"Ohio State","9-2",1064,"8",2017,"AP","2017-11-19"
9,"Notre Dame","9-2",1023,"9",2017,"AP","2017-11-19"
10,"TCU","9-2",906,"11",2017,"AP","2017-11-19"
11,"USC","10-2",891,"12",2017,"AP","2017-11-19"
12,"Penn State","9-2",888,"13",2017,"AP","2017-11-19"
13,"UCF","10-0",833,"14",2017,"AP","2017-11-19"
14,"Washington State","9-2",697,"15",2017,"AP","2017-11-19"
15,"Washington","9-2",613,"16",2017,"AP","2017-11-19"
16,"Mississippi State","8-3",573,"17",2017,"AP","2017-11-19"
17,"Memphis","9-1",496,"18",2017,"AP","2017-11-19"
18,"Oklahoma State","8-3",422,"10",2017,"AP","2017-11-19"
19,"LSU","8-3",415,"21",2017,"AP","2017-11-19"
20,"Stanford","8-3",407,"20",2017,"AP","2017-11-19"
21,"Michigan State","8-3",366,"22",2017,"AP","2017-11-19"
22,"South Florida","9-1",247,"23",2017,"AP","2017-11-19"
23,"Northwestern","8-3",232,"NR",2017,"AP","2017-11-19"
24,"Virginia Tech","8-3",136,"NR",2017,"AP","2017-11-19"
25,"Boise State","9-2",96,"NR",2017,"AP","2017-11-19"
1,"Alabama (64)","11-0",1600,"1",2017,"Coaches","2017-11-19"
2,"Miami","10-0",1492,"2",2017,"Coaches","2017-11-19"
3,"Clemson","10-1",1429,"3",2017,"Coaches","2017-11-19"
4,"Wisconsin","11-0",1414,"4",2017,"Coaches","2017-11-19"
5,"Oklahoma","10-1",1408,"5",2017,"Coaches","2017-11-19"
6,"Auburn","9-2",1271,"6",2017,"Coaches","2017-11-19"
7,"Georgia","10-1",1221,"7",2017,"Coaches","2017-11-19"
8,"Ohio State","9-2",1103,"8",2017,"Coaches","2017-11-19"
9,"Notre Dame","9-2",1019,"9",2017,"Coaches","2017-11-19"
10,"USC","10-2",976,"10",2017,"Coaches","2017-11-19"
11,"Penn State","9-2",956,"11",2017,"Coaches","2017-11-19"
12,"UCF","10-0",915,"12",2017,"Coaches","2017-11-19"
13,"TCU","9-2",861,"14",2017,"Coaches","2017-11-19"
14,"Washington","9-2",735,"15",2017,"Coaches","2017-11-19"
15,"Washington State","9-2",684,"16",2017,"Coaches","2017-11-19"
16,"Memphis","9-1",566,"17",2017,"Coaches","2017-11-19"
17,"Mississippi State","8-3",552,"19",2017,"Coaches","2017-11-19"
18,"LSU","8-3",430,"21",2017,"Coaches","2017-11-19"
19,"South Florida","9-1",388,"20",2017,"Coaches","2017-11-19"
20,"Stanford","8-3",383,"23",2017,"Coaches","2017-11-19"
21,"Oklahoma State","8-3",366,"13",2017,"Coaches","2017-11-19"
22,"Michigan State","8-3",326,"24",2017,"Coaches","2017-11-19"
23,"Northwestern","8-3",243,"NR",2017,"Coaches","2017-11-19"
24,"Boise State","9-2",124,"NR",2017,"Coaches","2017-11-19"
25,"Virginia Tech","8-3",119,"NR",2017,"Coaches","2017-11-19"
1,"Alabama (57)","10-0",1521,"1",2017,"AP","2017-11-12"
2,"Miami (4)","9-0",1438,"7",2017,"AP","2017-11-12"
3,"Oklahoma","9-1",1367,"5",2017,"AP","2017-11-12"
4,"Clemson","9-1",1358,"4",2017,"AP","2017-11-12"
5,"Wisconsin","10-0",1322,"6",2017,"AP","2017-11-12"
6,"Auburn","8-2",1199,"10",2017,"AP","2017-11-12"
7,"Georgia","9-1",1151,"2",2017,"AP","2017-11-12"
8,"Ohio State","8-2",1036,"11",2017,"AP","2017-11-12"
9,"Notre Dame","8-2",1001,"3",2017,"AP","2017-11-12"
10,"Oklahoma State","8-2",898,"12",2017,"AP","2017-11-12"
11,"TCU","8-2",875,"8",2017,"AP","2017-11-12"
12,"USC","9-2",866,"15",2017,"AP","2017-11-12"
13,"Penn State","8-2",818,"16",2017,"AP","2017-11-12"
14,"UCF","9-0",807,"14",2017,"AP","2017-11-12"
15,"Washington State","9-2",614,"19",2017,"AP","2017-11-12"
16,"Washington","8-2",575,"9",2017,"AP","2017-11-12"
17,"Mississippi State","7-3",492,"18",2017,"AP","2017-11-12"
18,"Memphis","8-1",437,"20",2017,"AP","2017-11-12"
19,"Michigan","8-2",315,"21",2017,"AP","2017-11-12"
20,"Stanford","7-3",287,"NR",2017,"AP","2017-11-12"
21,"LSU","7-3",276,"NR",2017,"AP","2017-11-12"
22,"Michigan State","7-3",259,"13",2017,"AP","2017-11-12"
23,"South Florida","8-1",236,"22",2017,"AP","2017-11-12"
24,"West Virginia","7-3",222,"23",2017,"AP","2017-11-12"
25,"North Carolina State","7-3",178,"NR",2017,"AP","2017-11-12"
1,"Alabama (63)","10-0",1575,"1",2017,"Coaches","2017-11-12"
2,"Miami","9-0",1465,"6",2017,"Coaches","2017-11-12"
3,"Clemson","9-1",1406,"4",2017,"Coaches","2017-11-12"
4,"Wisconsin","10-0",1395,"3",2017,"Coaches","2017-11-12"
5,"Oklahoma","9-1",1386,"7",2017,"Coaches","2017-11-12"
6,"Auburn","8-2",1250,"10",2017,"Coaches","2017-11-12"
7,"Georgia","9-1",1184,"2",2017,"Coaches","2017-11-12"
8,"Ohio State","8-2",1076,"11",2017,"Coaches","2017-11-12"
9,"Notre Dame","8-2",947,"5",2017,"Coaches","2017-11-12"
10,"USC","9-2",917,"14",2017,"Coaches","2017-11-12"
11,"Penn State","8-2",912,"13",2017,"Coaches","2017-11-12"
12,"UCF","9-0",910,"12",2017,"Coaches","2017-11-12"
13,"Oklahoma State","8-2",902,"15",2017,"Coaches","2017-11-12"
14,"TCU","8-2",814,"9",2017,"Coaches","2017-11-12"
15,"Washington","8-2",642,"8",2017,"Coaches","2017-11-12"
16,"Washington State","9-2",587,"20",2017,"Coaches","2017-11-12"
17,"Memphis","8-1",509,"19",2017,"Coaches","2017-11-12"
18,"Michigan","8-2",394,"22",2017,"Coaches","2017-11-12"
19,"Mississippi State","7-3",373,"18",2017,"Coaches","2017-11-12"
20,"South Florida","8-1",361,"21",2017,"Coaches","2017-11-12"
21,"LSU","7-3",282,"25",2017,"Coaches","2017-11-12"
22,"North Carolina State","7-3",271,"24",2017,"Coaches","2017-11-12"
23,"Stanford","7-3",206,"NR",2017,"Coaches","2017-11-12"
24,"Michigan State","7-3",179,"16",2017,"Coaches","2017-11-12"
25,"West Virginia","7-3",171,"NR",2017,"Coaches","2017-11-12"
1,"Alabama (56)","9-0",1520,"1",2017,"AP","2017-11-05"
2,"Georgia (5)","9-0",1468,"2",2017,"AP","2017-11-05"
3,"Notre Dame","8-1",1357,"5",2017,"AP","2017-11-05"
4,"Clemson","8-1",1289,"6",2017,"AP","2017-11-05"
5,"Oklahoma","8-1",1258,"8",2017,"AP","2017-11-05"
6,"Wisconsin","9-0",1256,"4",2017,"AP","2017-11-05"
7,"Miami","8-0",1220,"9",2017,"AP","2017-11-05"
8,"TCU","8-1",1087,"10",2017,"AP","2017-11-05"
9,"Washington","8-1",1061,"12",2017,"AP","2017-11-05"
10,"Auburn","7-2",875,"16",2017,"AP","2017-11-05"
11,"Ohio State","7-2",781,"3",2017,"AP","2017-11-05"
12,"Oklahoma State","7-2",766,"11",2017,"AP","2017-11-05"
13,"Michigan State","7-2",760,"24",2017,"AP","2017-11-05"
14,"UCF","8-0",736,"15",2017,"AP","2017-11-05"
15,"USC","8-2",718,"17",2017,"AP","2017-11-05"
16,"Penn State","7-2",717,"7",2017,"AP","2017-11-05"
17,"Virginia Tech","7-2",537,"13",2017,"AP","2017-11-05"
18,"Mississippi State","7-2",464,"21",2017,"AP","2017-11-05"
19,"Washington State","8-2",420,"25",2017,"AP","2017-11-05"
20,"Memphis","8-1",376,"22",2017,"AP","2017-11-05"
21,"Michigan","7-2",184,"NR",2017,"AP","2017-11-05"
22,"South Florida","8-1",177,"NR",2017,"AP","2017-11-05"
23,"West Virginia","6-3",163,"NR",2017,"AP","2017-11-05"
24,"Iowa State","6-3",155,"14",2017,"AP","2017-11-05"
25,"Iowa","6-3",147,"NR",2017,"AP","2017-11-05"
1,"Alabama (64)","9-0",1624,"1",2017,"Coaches","2017-11-05"
2,"Georgia (1)","9-0",1560,"2",2017,"Coaches","2017-11-05"
3,"Wisconsin","9-0",1392,"4",2017,"Coaches","2017-11-05"
4,"Clemson","8-1",1379,"5",2017,"Coaches","2017-11-05"
5,"Notre Dame","8-1",1367,"8",2017,"Coaches","2017-11-05"
6,"Miami","8-0",1326,"6",2017,"Coaches","2017-11-05"
7,"Oklahoma","8-1",1314,"9",2017,"Coaches","2017-11-05"
8,"Washington","8-1",1154,"11",2017,"Coaches","2017-11-05"
9,"TCU","8-1",1143,"12",2017,"Coaches","2017-11-05"
10,"Auburn","7-2",900,"15",2017,"Coaches","2017-11-05"
11,"Ohio State","7-2",881,"3",2017,"Coaches","2017-11-05"
12,"UCF","8-0",854,"14",2017,"Coaches","2017-11-05"
13,"Penn State","7-2",817,"7",2017,"Coaches","2017-11-05"
14,"USC","8-2",778,"17",2017,"Coaches","2017-11-05"
15,"Oklahoma State","7-2",764,"10",2017,"Coaches","2017-11-05"
16,"Michigan State","7-2",609,"NR",2017,"Coaches","2017-11-05"
17,"Virginia Tech","7-2",555,"13",2017,"Coaches","2017-11-05"
18,"Mississippi State","7-2",462,"22",2017,"Coaches","2017-11-05"
19,"Memphis","8-1",457,"21",2017,"Coaches","2017-11-05"
20,"Washington State","8-2",376,"NR",2017,"Coaches","2017-11-05"
21,"South Florida","8-1",306,"23",2017,"Coaches","2017-11-05"
22,"Michigan","7-2",261,"24",2017,"Coaches","2017-11-05"
23,"Iowa State","6-3",150,"16",2017,"Coaches","2017-11-05"
24,"North Carolina State","6-3",149,"19",2017,"Coaches","2017-11-05"
25,"LSU","6-3",136,"20",2017,"Coaches","2017-11-05"
1,"Alabama (59)","8-0",1523,"1",2017,"AP","2017-10-29"
2,"Georgia (2)","8-0",1465,"3",2017,"AP","2017-10-29"
3,"Ohio State","7-1",1332,"6",2017,"AP","2017-10-29"
4,"Wisconsin","8-0",1256,"5",2017,"AP","2017-10-29"
5,"Notre Dame","7-1",1254,"9",2017,"AP","2017-10-29"
6,"Clemson","7-1",1196,"7",2017,"AP","2017-10-29"
7,"Penn State","7-1",1189,"2",2017,"AP","2017-10-29"
8,"Oklahoma","7-1",1147,"10",2017,"AP","2017-10-29"
9,"Miami","7-0",1075,"8",2017,"AP","2017-10-29"
10,"TCU","7-1",942,"4",2017,"AP","2017-10-29"
11,"Oklahoma State","7-1",936,"11",2017,"AP","2017-10-29"
12,"Washington","7-1",874,"12",2017,"AP","2017-10-29"
13,"Virginia Tech","7-1",837,"13",2017,"AP","2017-10-29"
14,"Iowa State","6-2",670,"25",2017,"AP","2017-10-29"
15,"UCF","7-0",654,"18",2017,"AP","2017-10-29"
16,"Auburn","6-2",576,"19",2017,"AP","2017-10-29"
17,"USC","7-2",562,"21",2017,"AP","2017-10-29"
18,"Stanford","6-2",434,"20",2017,"AP","2017-10-29"
19,"LSU","6-2",338,"23",2017,"AP","2017-10-29"
20,"North Carolina State","6-2",333,"14",2017,"AP","2017-10-29"
21,"Mississippi State","6-2",279,"NR",2017,"AP","2017-10-29"
22,"Memphis","7-1",270,"24",2017,"AP","2017-10-29"
23,"Arizona","6-2",204,"NR",2017,"AP","2017-10-29"
24,"Michigan State","6-2",136,"16",2017,"AP","2017-10-29"
25,"Washington State","7-2",122,"15",2017,"AP","2017-10-29"
1,"Alabama (65)","8-0",1625,"1",2017,"Coaches","2017-10-29"
2,"Georgia","8-0",1549,"3",2017,"Coaches","2017-10-29"
3,"Ohio State","7-1",1426,"6",2017,"Coaches","2017-10-29"
4,"Wisconsin","8-0",1418,"5",2017,"Coaches","2017-10-29"
5,"Clemson","7-1",1295,"7",2017,"Coaches","2017-10-29"
6,"Miami","7-0",1238,"8",2017,"Coaches","2017-10-29"
7,"Penn State","7-1",1221,"2",2017,"Coaches","2017-10-29"
8,"Notre Dame","7-1",1212,"10",2017,"Coaches","2017-10-29"
9,"Oklahoma","7-1",1192,"9",2017,"Coaches","2017-10-29"
10,"Oklahoma State","7-1",1000,"12",2017,"Coaches","2017-10-29"
11,"Washington","7-1",977,"11",2017,"Coaches","2017-10-29"
12,"TCU","7-1",944,"4",2017,"Coaches","2017-10-29"
13,"Virginia Tech","7-1",878,"13",2017,"Coaches","2017-10-29"
14,"UCF","7-0",727,"17",2017,"Coaches","2017-10-29"
15,"Auburn","6-2",622,"19",2017,"Coaches","2017-10-29"
16,"Iowa State","6-2",571,"NR",2017,"Coaches","2017-10-29"
17,"USC","7-2",560,"21",2017,"Coaches","2017-10-29"
18,"Stanford","6-2",494,"20",2017,"Coaches","2017-10-29"
19,"North Carolina State","6-2",382,"15",2017,"Coaches","2017-10-29"
20,"LSU","6-2",372,"23",2017,"Coaches","2017-10-29"
21,"Memphis","7-1",288,"NR",2017,"Coaches","2017-10-29"
22,"Mississippi State","6-2",210,"NR",2017,"Coaches","2017-10-29"
23,"South Florida","7-1",193,"14",2017,"Coaches","2017-10-29"
24,"Michigan","6-2",176,"25",2017,"Coaches","2017-10-29"
25,"Arizona","6-2",153,"NR",2017,"Coaches","2017-10-29"
1,"Alabama (61)","8-0",1525,"1",2017,"AP","2017-10-22"
2,"Penn State","7-0",1444,"2",2017,"AP","2017-10-22"
3,"Georgia","7-0",1409,"3",2017,"AP","2017-10-22"
4,"TCU","7-0",1327,"4",2017,"AP","2017-10-22"
5,"Wisconsin","7-0",1241,"5",2017,"AP","2017-10-22"
6,"Ohio State","6-1",1165,"6",2017,"AP","2017-10-22"
7,"Clemson","6-1",1113,"7",2017,"AP","2017-10-22"
8,"Miami","6-0",1101,"8",2017,"AP","2017-10-22"
9,"Notre Dame","6-1",1066,"13",2017,"AP","2017-10-22"
10,"Oklahoma","6-1",1040,"9",2017,"AP","2017-10-22"
11,"Oklahoma State","6-1",894,"10",2017,"AP","2017-10-22"
12,"Washington","6-1",836,"12",2017,"AP","2017-10-22"
13,"Virginia Tech","6-1",791,"14",2017,"AP","2017-10-22"
14,"North Carolina State","6-1",666,"16",2017,"AP","2017-10-22"
15,"Washington State","7-1",648,"15",2017,"AP","2017-10-22"
16,"Michigan State","6-1",615,"18",2017,"AP","2017-10-22"
17,"South Florida","7-0",604,"16",2017,"AP","2017-10-22"
18,"UCF","6-0",500,"20",2017,"AP","2017-10-22"
19,"Auburn","6-2",397,"21",2017,"AP","2017-10-22"
20,"Stanford","5-2",344,"22",2017,"AP","2017-10-22"
21,"USC","6-2",319,"11",2017,"AP","2017-10-22"
22,"West Virginia","5-2",196,"23",2017,"AP","2017-10-22"
23,"LSU","6-2",182,"24",2017,"AP","2017-10-22"
24,"Memphis","6-1",111,"25",2017,"AP","2017-10-22"
25,"Iowa State","5-2",98,"NR",2017,"AP","2017-10-22"
1,"Alabama (64)","8-0",1600,"1",2017,"Coaches","2017-10-22"
2,"Penn State","7-0",1520,"2",2017,"Coaches","2017-10-22"
3,"Georgia","7-0",1463,"3",2017,"Coaches","2017-10-22"
4,"TCU","7-0",1385,"4",2017,"Coaches","2017-10-22"
5,"Wisconsin","7-0",1343,"5",2017,"Coaches","2017-10-22"
6,"Ohio State","6-1",1244,"6",2017,"Coaches","2017-10-22"
7,"Clemson","6-1",1173,"8",2017,"Coaches","2017-10-22"
8,"Miami","6-0",1172,"7",2017,"Coaches","2017-10-22"
9,"Oklahoma","6-1",1084,"9",2017,"Coaches","2017-10-22"
10,"Notre Dame","6-1",951,"16",2017,"Coaches","2017-10-22"
11,"Washington","6-1",931,"12",2017,"Coaches","2017-10-22"
12,"Oklahoma State","6-1",926,"11",2017,"Coaches","2017-10-22"
13,"Virginia Tech","6-1",818,"14",2017,"Coaches","2017-10-22"
14,"South Florida","7-0",730,"13",2017,"Coaches","2017-10-22"
15,"North Carolina State","6-1",683,"17",2017,"Coaches","2017-10-22"
16,"Washington State","7-1",636,"18",2017,"Coaches","2017-10-22"
17,"UCF","6-0",561,"20",2017,"Coaches","2017-10-22"
18,"Michigan State","6-1",560,"19",2017,"Coaches","2017-10-22"
19,"Auburn","6-2",455,"21",2017,"Coaches","2017-10-22"
